"verify_id","assignment_id","worker_id","time","gen","trial","hit_id","valid","invalid"
1,"3FE7TXL1LIMAUM9DG7ROFP1GHLK2QC","AJWES6SFIP3AT","2017-12-02 21:09:03+00",0,2,"3ICOHX7ENBABEPI12RN9D0O3QI6E0Z","{2,6,11,13,14,15,16,19,20,21,22,23,25,26,29,34}","{27,35,38}"
2,"3QUO65DNQUNGTM5ZKE9QW318LBLUOE","A1O75XZ8398XRD","2017-12-02 21:10:48+00",0,1,"3YO4AH2FPCJ0BS86BII97HDH9LUQ0N","{31}","{10,28,32,33,36,37}"
3,"3Z4AIRP3C6CNEYSTJHM24EN4MISX1M","A3AD1WTZEZNFQW","2017-12-02 21:11:04+00",0,0,"3SBNLSTU6T43O4ARAQPHDH948DODZX","{1,3,4,5,7,8,9,12,17,18,24,30}","{}"
4,"33CID57104SOO7PJS2XXHD7EDTXL3H","A3SXMSASKFDEPI","2017-12-02 21:17:41+00",0,2,"3ICOHX7ENBABEPI12RN9D0O3QI6E0Z","{2,6,11,13,14,15,16,19,20,21,22,25,26,29,34}","{23,27,35,38}"
5,"3H7XDTSHKCQ5TDD6RVBJ9ID3F56GWD","A1OU2FW26L47VV","2017-12-02 21:22:15+00",0,1,"3YO4AH2FPCJ0BS86BII97HDH9LUQ0N","{31,33,36}","{10,28,32,37}"
6,"3H7XDTSHKCQ5TDD6RVBJ9ID3F56GWD","A1OU2FW26L47VV","2017-12-02 21:22:53+00",0,1,"3YO4AH2FPCJ0BS86BII97HDH9LUQ0N","{28,31,36}","{10,32,33,37}"
7,"3N4BPTXIO8RX3VKKMMHXPMKZ16CUKV","A24B2ZZJ04FNDN","2017-12-02 21:25:52+00",0,0,"3SBNLSTU6T43O4ARAQPHDH948DODZX","{1,3,4,5,7,8,9,12,17,18,24}","{30}"
8,"3N4BPTXIO8RX3VKKMMHXPMKZ16CUKV","A24B2ZZJ04FNDN","2017-12-02 21:27:21+00",0,0,"3SBNLSTU6T43O4ARAQPHDH948DODZX","{1,3,4,5,7,8,9,12,17,18,24,30}","{}"
9,"3C8HJ7UOP7T9FIEXDLTLLRRISTMZMU","A1H6QZ5VB8PWIL","2017-12-02 21:27:50+00",0,2,"3ICOHX7ENBABEPI12RN9D0O3QI6E0Z","{2,6,11,13,14,15,16,19,20,21,22,25,26,29,34}","{23,27,35,38}"
10,"3OS46CRSLFYQHVOVP8X1BPH0EI1V6G","A1H6QZ5VB8PWIL","2017-12-02 21:29:10+00",0,0,"3SBNLSTU6T43O4ARAQPHDH948DODZX","{1,3,4,5,7,8,9,12,17,18,24,30}","{}"
11,"3OS46CRSLFYQHVOVP8X1BPH0EI1V6G","A1H6QZ5VB8PWIL","2017-12-02 21:29:36+00",0,0,"3SBNLSTU6T43O4ARAQPHDH948DODZX","{1,3,4,5,7,8,9,12,17,18,24,30}","{}"
12,"3XUHV3NRVKXPGQTXF06S4ICRA8G5HL","A1SS6LBKQMZMHD","2017-12-02 21:35:35+00",0,2,"3ICOHX7ENBABEPI12RN9D0O3QI6E0Z","{2,6,11,13,14,15,16,19,20,21,22,25,26,29,34}","{23,27,35,38}"
13,"3XUHV3NRVKXPGQTXF06S4ICRA8G5HL","A1SS6LBKQMZMHD","2017-12-02 21:36:13+00",0,2,"3ICOHX7ENBABEPI12RN9D0O3QI6E0Z","{2,6,11,13,14,15,16,19,20,21,22,25,26,29,34}","{23,27,35,38}"
14,"3DUZQ9U6SMNV4TMSWL04CUDSW7YSVZ","A24B2ZZJ04FNDN","2017-12-02 21:39:28+00",0,1,"3YO4AH2FPCJ0BS86BII97HDH9LUQ0N","{10,28,31,33,36,37}","{32}"
15,"3B3WTRP3DB142NSRZ5G2TUBR7LH92Y","A11LJQ41984DH","2017-12-02 21:49:11+00",0,1,"3YO4AH2FPCJ0BS86BII97HDH9LUQ0N","{10,32,33,37}","{28,31,36}"
16,"31N2WW6R9RP2OFFN6RUZM02UGYO3F9","A340UGIDGIF4W6","2017-12-03 01:37:21+00",1,1,"3H1C3QRA00IV8HDHE7GT81Q4Z78ECX","{40,49,50}","{39,43}"
17,"33FBRBDW6OYHM01JR6ZU5BP2Z7O8CV","A340UGIDGIF4W6","2017-12-03 01:37:42+00",1,2,"3L7SUC0TTTT9QDAEJPBSQ8TCZK20MF","{41,45,46,48,54,56}","{}"
18,"337RC3OW05180GR2CC3308ZX4E2VL2","AGUF6B4Q9991D","2017-12-03 01:37:53+00",1,2,"3L7SUC0TTTT9QDAEJPBSQ8TCZK20MF","{41,45,46,48,54}","{56}"
19,"3M0NZ3JDP1XB7BTRLMCZ4PGW6Z95ZP","A2VDXSY6U1SBRP","2017-12-03 01:37:53+00",1,0,"35O6H0UNLRFIKCQUDY4CRBXMCYIJ5F","{42,44,47,51,52,53,55}","{}"
20,"33TIN5LC049U38LYSQNX2YCWM1NY9H","AGUF6B4Q9991D","2017-12-03 01:38:06+00",1,0,"35O6H0UNLRFIKCQUDY4CRBXMCYIJ5F","{42,44,47,51,52,53,55}","{}"
21,"3AUQQEL7U5SV3K2GNJHK2O791GS0VZ","A3Q29XKC8MAPX6","2017-12-03 01:38:11+00",1,1,"3H1C3QRA00IV8HDHE7GT81Q4Z78ECX","{40,49}","{39,43,50}"
22,"30IQTZXKAK5N797BNYI2Q94UHR00X2","AGUF6B4Q9991D","2017-12-03 01:38:21+00",1,1,"3H1C3QRA00IV8HDHE7GT81Q4Z78ECX","{40,49,50}","{39,43}"
23,"3NPI0JQDAO4JE92BZ9WVG7KWC3NTPI","A1JMINVUZ2AOZR","2017-12-03 01:38:25+00",1,1,"3H1C3QRA00IV8HDHE7GT81Q4Z78ECX","{40,49,50}","{39,43}"
24,"3DIP6YHAPCRWJYLXNX5PVZP5KJ18EO","A3Q29XKC8MAPX6","2017-12-03 01:38:31+00",1,2,"3L7SUC0TTTT9QDAEJPBSQ8TCZK20MF","{41,45,46,48,54}","{56}"
25,"3ZY8KE4ISJ2JRD7F4HBZHUYREKPVQR","A3Q29XKC8MAPX6","2017-12-03 01:38:40+00",1,0,"35O6H0UNLRFIKCQUDY4CRBXMCYIJ5F","{42,44,47,51,52,53,55}","{}"
26,"3HVVDCPGTERDNNUCQWSETYD8G8QTYC","A222I983CLHUE5","2017-12-03 01:38:47+00",1,2,"3L7SUC0TTTT9QDAEJPBSQ8TCZK20MF","{41,45,46,48,54}","{56}"
27,"3DPNQGW4LLERNI5G5CWE2ZHN1ZH64U","A2VDXSY6U1SBRP","2017-12-03 01:38:52+00",1,1,"3H1C3QRA00IV8HDHE7GT81Q4Z78ECX","{40,49,50}","{39,43}"
28,"39OWYR0EPKQ34ICBVCNPCUY7PZIYF9","A222I983CLHUE5","2017-12-03 01:39:10+00",1,1,"3H1C3QRA00IV8HDHE7GT81Q4Z78ECX","{40,49,50}","{39,43}"
29,"3IAS3U3I0FFNQG7OXPUYK06HVMWB2O","A2VDXSY6U1SBRP","2017-12-03 01:39:23+00",1,2,"3L7SUC0TTTT9QDAEJPBSQ8TCZK20MF","{41,45,46,48,54}","{56}"
30,"3WEV0KO0OMR9ACM6500A687LW17DS0","A222I983CLHUE5","2017-12-03 01:39:41+00",1,0,"35O6H0UNLRFIKCQUDY4CRBXMCYIJ5F","{42,44,47,51,52,53,55}","{}"
31,"3GDTJDAPVUAUVMDA4VT887UETLS8MD","A18MIOZ2MS4YUB","2017-12-03 01:39:57+00",1,0,"35O6H0UNLRFIKCQUDY4CRBXMCYIJ5F","{44}","{42,47,51,52,53,55}"
32,"3KGTPGBS6XK2MFGUXGBTPQY5K72U2N","A2RUHO7I7Y4XFA","2017-12-03 01:40:25+00",1,2,"3L7SUC0TTTT9QDAEJPBSQ8TCZK20MF","{41,45,46,48,54}","{56}"
33,"3U4J9857OEAUCH4U31BTGRNP62IB74","A18MIOZ2MS4YUB","2017-12-03 01:40:28+00",1,0,"3YCT0L9OML8F94FQ4S9CDTOVZ2VSNU","{44}","{42,47,51,52,53,55}"
34,"3NOKK93PR17DSZVO00RPN9LRVMZEET","A1HS8H18KJ6OJH","2017-12-03 01:41:13+00",1,0,"3YCT0L9OML8F94FQ4S9CDTOVZ2VSNU","{42,44,47,51,52,53,55}","{}"
35,"3BGYGHDBBXJT237SEW1NJ73D1GJ22D","A30EI064NHQEQO","2017-12-03 01:42:06+00",1,0,"3YCT0L9OML8F94FQ4S9CDTOVZ2VSNU","{42,44,47,51,52,53,55}","{}"
36,"3AAJC4I4FGRJEA8CAOGT5ZZ1O03ZJ4","A35K3YVCX1LVPE","2017-12-03 01:43:52+00",1,0,"3YCT0L9OML8F94FQ4S9CDTOVZ2VSNU","{42,44,47,51,52,53,55}","{}"
