"rank_id","hit_id","assignment_id","worker_id","time","rank0","rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","trial","gen"
56,"33J5JKFMK5XWSK73U50S9FBOD203QS","3UN61F00HWO25K70B5IMIMEXYSJR5W","A5RWBMJGG048D","2017-12-07 02:50:43+00",143,142,141,137,125,122,115,9999,-9999,-9999,1,1
57,"33J5JKFMK5XWSK73U50S9FBOD203QS","3A1PQ49WVHGQS8SEED4G1SZAZ3HH18","A3IR7DFEKLLLO","2017-12-07 02:57:12+00",143,125,122,9999,137,115,142,141,-9999,-9999,1,1
58,"3CESM1J3EH2090Q7PGXW875UBUIW6U","304SM51WA33GVFOMR494BIJLUQPBS6","A3IR7DFEKLLLO","2017-12-07 02:57:57+00",144,140,126,145,121,119,9999,129,138,-9999,0,1
59,"3VMHWJRYHUFBHTO80EWM4WWEDVSFXA","3MD9PLUKKIDFX0ZXPM8LY6GIYU2ZNN","A3IR7DFEKLLLO","2017-12-07 02:58:50+00",133,128,116,118,117,132,136,131,9999,124,2,1
60,"33J5JKFMK5XWSK73U50S9FBOD203QS","3H8DHMCCW9ABMT9Y0RR8FMGBGHPDKZ","A1WNHGZ8S46T3C","2017-12-07 03:22:51+00",122,137,125,9999,143,115,142,141,-9999,-9999,1,1
61,"33J5JKFMK5XWSK73U50S9FBOD203QS","3EFVCAY5L384UE7P1YGGSF2XQ1SJ80","A3PNUKFE80TO9Z","2017-12-07 03:23:45+00",142,122,143,137,9999,125,141,115,-9999,-9999,1,1
62,"3CESM1J3EH2090Q7PGXW875UBUIW6U","3E4GGUZ1T8QOJJBI327RJ3P7JQ12KG","A1IW8P2O4CK670","2017-12-07 03:41:34+00",129,144,138,121,140,119,9999,126,145,-9999,0,1
63,"3VMHWJRYHUFBHTO80EWM4WWEDVSFXA","3MD9PLUKKIDFX0ZXPM8LY6GIYU4ZNP","A2V8LLZRTOP79S","2017-12-07 03:41:51+00",136,9999,133,132,128,131,117,118,116,124,2,1
64,"3CESM1J3EH2090Q7PGXW875UBUIW6U","3VNXK88KKCHDZEQTNF0DVZ825UIV9N","A2V8LLZRTOP79S","2017-12-07 03:43:15+00",129,144,145,121,126,138,119,9999,140,-9999,0,1
65,"33J5JKFMK5XWSK73U50S9FBOD203QS","33LK57MYLT4CDDR2XIP7X0QOLTDSZV","A2V8LLZRTOP79S","2017-12-07 03:44:45+00",142,143,141,9999,137,122,125,115,-9999,-9999,1,1
66,"dummy_hitId","dummy_assignment_id","dummy_workerId","2017-12-07 13:07:32+00",169,156,155,163,170,164,158,162,151,147,0,2
67,"386659BNTKGCUOOPQ3SU6G592HU10C","3WJ1OXY92AFTTL4L7S33ZGZE0IFA80","A1D9FOXZ0UT0L2","2017-12-07 14:42:18+00",177,165,159,166,172,9999,-9999,-9999,-9999,-9999,2,2
68,"3EHIMLB7F6Y5GOE6NW8URIRY241H8D","33IZTU6J810N8IRNW01M0FADDXUXSQ","A2SUHYG0Z9ITP1","2017-12-07 14:42:21+00",162,9999,163,164,155,147,-9999,-9999,-9999,-9999,0,2
69,"3T2EL38U0LJ88IEHEU7GGV0SK06QXQ","3U84XHCDICCTBSPR7HTPZXAI7HQ4ZO","A1D9FOXZ0UT0L2","2017-12-07 14:42:55+00",175,176,178,167,168,160,157,9999,-9999,-9999,1,2
70,"3EHIMLB7F6Y5GOE6NW8URIRY241H8D","39O5D9O87TRVL3VDFP4YEUHRKZ83C3","A1L2N1X8U8Z3W7","2017-12-07 14:44:24+00",163,9999,162,164,155,147,-9999,-9999,-9999,-9999,0,2
71,"3T2EL38U0LJ88IEHEU7GGV0SK06QXQ","3OWEPKL089BWDQTR6RG27MNJO587NU","A3P6N0QKKEL2TQ","2017-12-07 14:44:37+00",176,168,178,175,160,157,9999,167,-9999,-9999,1,2
72,"3EHIMLB7F6Y5GOE6NW8URIRY241H8D","3TEM0PF1Q5W9932UWYHQW2122N00D5","A24DSECWUBZC0Z","2017-12-07 14:44:49+00",162,9999,164,163,155,147,-9999,-9999,-9999,-9999,0,2
73,"3T2EL38U0LJ88IEHEU7GGV0SK06QXQ","3VAR3R6G1P0IVPYMHB8L0BJJPZJ8OX","A3T71W88062DB7","2017-12-07 14:45:30+00",168,160,175,9999,167,157,176,178,-9999,-9999,1,2
74,"386659BNTKGCUOOPQ3SU6G592HU10C","3P4RDNWND55XJKJ2AKS754WBT1EIJW","AQL960O0LTRI8","2017-12-07 14:45:40+00",9999,172,166,159,177,165,-9999,-9999,-9999,-9999,2,2
75,"3T2EL38U0LJ88IEHEU7GGV0SK06QXQ","3A9AA95ATWLHT7RLYDEXDREIXEE5P9","A24DSECWUBZC0Z","2017-12-07 14:46:25+00",168,9999,167,160,175,157,176,178,-9999,-9999,1,2
76,"3EHIMLB7F6Y5GOE6NW8URIRY241H8D","3IOEN3P9S7IAVJ8XIUDC41AKQTJ61M","AQL960O0LTRI8","2017-12-07 14:47:11+00",162,163,164,9999,155,147,-9999,-9999,-9999,-9999,0,2
77,"386659BNTKGCUOOPQ3SU6G592HU10C","3WOKGM4L71F0D0TJM7V67WD1617O0Q","A24DSECWUBZC0Z","2017-12-07 14:47:25+00",172,9999,166,159,177,165,-9999,-9999,-9999,-9999,2,2
