id,gen,trial,lat,lng,description
1,0,0,40.7600509,-73.9846787,Find a brown tarp.
3,0,2,-16.7362958,-69.7134053,Find the yellow sign.
2,0,1,40.719391,-73.5094,Find the bench.
4,1,0,40.7600509,-73.9846787,"A row of umbrellas line the edge of the street along with chairs and what appears to be vendor booths. Midway down the street, a large brown tarp is visible and appears to be securing property or merchandise while a man sits in a chair with his back to the bungle secured by the brown tarp."
5,1,1,40.719391,-73.5094,The bench is on a brick patio in front of the white house with the tan roof that has a white SUV parked in the driveway.
6,1,2,-16.7362958,-69.7134053,Find the yellow sign.
7,2,0,40.7600509,-73.9846787,"A row of umbrellas line the edge of the street along with chairs and what appears to be vendor booths. Midway down the street, a large brown tarp is visible and appears to be securing property or merchandise while a man sits in a chair with his back to the bungle secured by the brown tarp."
8,2,1,40.719391,-73.5094,The bench is located in front of the white house. There are bricks on the patio. There is a white SUV in the driveway. The house appears to have a second story or attic and a tan roof. There are columns in front of the front door. 
9,2,2,-16.7362958,-69.7134053,Turn to find the yellow sign.
